species,institution_code,catalog_number,basis_of_record,individual_count,country,state_or_province,locality,collection_year,latitude,longitude,
Amblema plicata,cmn,cmnml 014612,preservedspecimen,11,canada,manitoba,west edge of winnipeg,1961,49.883333,-97.15,
Amblema plicata,cmn,cmnml 093364,preservedspecimen,2,united states,minnesota,minnesota riv. chippewa co.,1964,44.933056,-95.733333,
Amblema plicata,cmn,cmnml 046729,preservedspecimen,1,united states,texas,san antonio river knox farm karnes co. some 7 mi. sw of runge texas,1967,,,
Amblema plicata,cmn,cmnml 024335,preservedspecimen,1,united states,tennessee,elk riv. at  rte 41a just s of estill springs,1953,35.259444,-86.121667,
Amblema plicata,cmn,cmnml 062184,preservedspecimen,1,united states,oklahoma,blue riv.,1970,34.454444,-96.635833,
Amblema plicata,cmn,cmnml 031092,preservedspecimen,16,united states,north dakota,red riv. of the north richland co.,1964,46.444167,-96.716111,
Amblema plicata,dmnh,96949,preservedspecimen,1,united states,ohio,muskingum river lowell,1973,,,
Amblema plicata,dmnh,173269,preservedspecimen,1,united states,new york,erie canal rochester,,,,
Amblema plicata,dmnh,173271,preservedspecimen,1,united states,new york,tonawanda creek,,,,
Amblema plicata,dmnh,146569,preservedspecimen,1,united states,texas,medina river,,,,
Amblema plicata,dmnh,48600,preservedspecimen,1,united states,alabama,cahaba river 1 mi n of acton,,,,
Amblema plicata,dmnh,173263,preservedspecimen,1,united states,iowa,skunk river,,,,
Amblema plicata,dmnh,146549,preservedspecimen,1,united states,michigan,la plaisance bay lake erie,,,,
Amblema plicata,dmnh,48596,preservedspecimen,1,united states,kentucky,barren river hicks ford 2mi se of austin,1927,,,
Amblema plicata,dmnh,14635,preservedspecimen,1,united states,alabama,paint rock river,,,,
Amblema plicata,dmnh,173284,preservedspecimen,1,united states,arkansas,washita river,,,,
Amblema plicata,dmnh,94399,preservedspecimen,1,united states,ohio,lake erie at locust point 9 mi nw of port clinton,1971,,,
